# : PIXIE 
 
# nu            Sensitivity    
 
2520.00000000   6.61217730e+00 
2535.00000000   6.67797011e+00 
2550.00000000   6.74376292e+00 
2565.00000000   6.80955573e+00 
2580.00000000   6.90824494e+00 
2595.00000000   6.97403775e+00 
2610.00000000   7.03983056e+00 
2625.00000000   7.10562337e+00 
2640.00000000   7.20431258e+00 
2655.00000000   7.27010539e+00 
2670.00000000   7.33589820e+00 
2685.00000000   7.43458741e+00 
2700.00000000   7.50038022e+00 
2715.00000000   7.59906944e+00 
2730.00000000   7.66486225e+00 
2745.00000000   7.76355146e+00 
2760.00000000   7.82934427e+00 
2775.00000000   7.92803348e+00 
2790.00000000   8.02672269e+00 
2805.00000000   8.09251550e+00 
2820.00000000   8.19120472e+00 
2835.00000000   8.28989393e+00 
2850.00000000   8.38858314e+00 
2865.00000000   8.45437595e+00 
2880.00000000   8.55306517e+00 
2895.00000000   8.65175438e+00 
2910.00000000   8.75044359e+00 
2925.00000000   8.84913281e+00 
2940.00000000   8.94782202e+00 
2955.00000000   9.04651123e+00 
2970.00000000   9.14520045e+00 
2985.00000000   9.24388966e+00 
